instance,n,error,algo,time_ms,gap,peak_mb_med,peak_mb_mean,peak_mb_std,time_ms_mem_med,trials,gap_max_mem
sorting_near_sorted_1.json,1000,0.02,A,0.5,0.0,0.0340194702148437,0.03399047851562495,9.167980276977486e-05,4.633099946659058,10,0.0
sorting_near_sorted_1.json,1000,0.02,B,0.63,0.0,0.0282516479492187,0.0282516479492187,0.0,7.013449969235808,10,0.0
sorting_near_sorted_1.json,1000,0.02,C,0.06,0.0,0.0078392028808593,0.0078392028808593,0.0,1.770899980328977,10,0.0
sorting_near_sorted_10.json,100000,0.02,A,73.33,0.0,3.201690673828125,3.201690673828125,0.0,580.9496499714442,10,0.0
sorting_near_sorted_10.json,100000,0.02,B,84.87,0.0,2.6725845336914062,2.672796630859375,0.0004471400907016829,1707.6881499378942,10,0.0
sorting_near_sorted_10.json,100000,0.02,C,5.2,0.0,0.7631492614746094,0.7632526397705078,0.0003269108756659065,227.25644998718053,10,0.0
sorting_near_sorted_11.json,100000,0.05,A,73.94,0.0,3.201744079589844,3.2017440795898446,0.0,573.2142000342719,10,0.0
sorting_near_sorted_11.json,100000,0.05,B,108.13,0.0,2.672576904296875,2.672809600830078,0.0004911240632961733,1708.8644499890506,10,0.0
sorting_near_sorted_11.json,100000,0.05,C,6.65,0.0,0.7631492614746094,0.7632518768310547,0.00032449824927721974,245.68879994330928,10,0.0
sorting_near_sorted_12.json,100000,0.1,A,98.36,0.0,3.2019577026367188,3.2019577026367188,0.0,586.6062000277452,10,0.0
sorting_near_sorted_12.json,100000,0.1,B,93.95,0.0,2.6725845336914062,2.6728118896484374,0.00048065589216849606,1697.8671500110067,10,0.0
sorting_near_sorted_12.json,100000,0.1,C,7.72,0.0,0.7631492614746094,0.763308334350586,0.0005030326020394261,276.12454997142777,10,0.0
sorting_near_sorted_13.json,500000,0.02,A,427.72,0.0,15.605232238769531,15.605420684814453,0.0005155856540147352,2707.399000006262,10,0.0
sorting_near_sorted_13.json,500000,0.02,B,464.7,0.0,13.355010986328123,13.35504150390625,6.433670369892807e-05,10069.055200030562,10,0.0
sorting_near_sorted_13.json,500000,0.02,C,27.4,0.0,3.81490707397461,3.815240478515625,0.0007037980337642332,1129.8939000116661,10,0.0
sorting_near_sorted_14.json,500000,0.05,A,418.62,0.0,15.605308532714844,15.605520629882813,0.0004471400907017167,2730.0913999788463,10,0.0
sorting_near_sorted_14.json,500000,0.05,B,470.45,0.0,13.355010986328123,13.355056762695312,7.370695366613135e-05,9965.09439998772,10,0.0
sorting_near_sorted_14.json,500000,0.05,C,31.03,0.0,3.81490707397461,3.8152252197265626,0.0006707101360523459,1212.2047500452027,10,0.0
sorting_near_sorted_15.json,500000,0.1,A,438.49,0.0,15.603752136230469,15.603964233398438,0.0004471400907017167,2813.8980000512674,10,0.0
sorting_near_sorted_15.json,500000,0.1,B,468.0,0.0,13.355010986328123,13.355056762695312,7.370695366589186e-05,9996.790950011928,10,0.0
sorting_near_sorted_15.json,500000,0.1,C,35.94,0.0,3.81490707397461,3.8152252197265626,0.0006707101360523923,1372.792549955193,10,0.0
sorting_near_sorted_2.json,1000,0.05,A,0.53,0.0,0.0339126586914062,0.0339126586914062,0.0,4.738999938126653,10,0.0
sorting_near_sorted_2.json,1000,0.05,B,0.58,0.0,0.0282516479492187,0.0282516479492187,0.0,6.7055500112473965,10,0.0
sorting_near_sorted_2.json,1000,0.05,C,0.07,0.0,0.0078392028808593,0.0078392028808593,0.0,1.864899997599423,10,0.0
sorting_near_sorted_3.json,1000,0.1,A,0.54,0.0,0.0343170166015625,0.0343170166015625,0.0,4.867149982601404,10,0.0
sorting_near_sorted_3.json,1000,0.1,B,0.61,0.0,0.0282440185546875,0.0282440185546875,0.0,6.716000032611191,10,0.0
sorting_near_sorted_3.json,1000,0.1,C,0.08,0.0,0.0078392028808593,0.0078392028808593,0.0,2.027499955147505,10,0.0
sorting_near_sorted_4.json,5000,0.02,A,2.95,0.0,0.1610870361328125,0.1610870361328125,0.0,25.150250003207475,10,0.0
sorting_near_sorted_4.json,5000,0.02,B,3.19,0.0,0.1353836059570312,0.13544311523437497,0.00018818485831690387,53.20919997757301,10,0.0
sorting_near_sorted_4.json,5000,0.02,C,0.28,0.0,0.0383567810058593,0.0383567810058593,0.0,10.785800055600703,10,0.0
sorting_near_sorted_5.json,5000,0.05,A,2.83,0.0,0.1610107421875,0.1610107421875,0.0,25.44050000142306,10,0.0
sorting_near_sorted_5.json,5000,0.05,B,3.39,0.0,0.1353836059570312,0.1353836059570312,0.0,53.298700018785894,10,0.0
sorting_near_sorted_5.json,5000,0.05,C,0.29,0.0,0.0383567810058593,0.0383567810058593,0.0,11.551799951121211,10,0.0
sorting_near_sorted_6.json,5000,0.1,A,2.99,0.0,0.1613311767578125,0.1613311767578125,0.0,25.72919998783618,10,0.0
sorting_near_sorted_6.json,5000,0.1,B,3.33,0.0,0.1353759765625,0.1353759765625,0.0,53.46030002692714,10,0.0
sorting_near_sorted_6.json,5000,0.1,C,0.33,0.0,0.0383567810058593,0.0383567810058593,0.0,12.900100031401962,10,0.0
sorting_near_sorted_7.json,20000,0.02,A,12.47,0.0,0.63250732421875,0.6326286315917968,0.00038360759579984734,103.07994997128844,10,0.0
sorting_near_sorted_7.json,20000,0.02,B,14.13,0.0,0.5361404418945312,0.5361404418945312,0.0,273.23349996004254,10,0.0
sorting_near_sorted_7.json,20000,0.02,C,1.07,0.0,0.1527976989746093,0.1527976989746093,0.0,44.58640003576875,10,0.0
