instance,n,error,algo,run_id,time_ms
sorting_near_sorted_3.json,1000,0.1,A,1,0.55
sorting_near_sorted_3.json,1000,0.1,A,2,0.51
sorting_near_sorted_3.json,1000,0.1,A,3,0.5
sorting_near_sorted_3.json,1000,0.1,A,4,0.53
sorting_near_sorted_3.json,1000,0.1,A,5,0.51
sorting_near_sorted_3.json,1000,0.1,A,6,0.53
sorting_near_sorted_3.json,1000,0.1,A,7,0.53
sorting_near_sorted_3.json,1000,0.1,A,8,0.53
sorting_near_sorted_3.json,1000,0.1,A,9,0.53
sorting_near_sorted_3.json,1000,0.1,A,10,0.52
sorting_near_sorted_3.json,1000,0.1,A,11,0.53
sorting_near_sorted_3.json,1000,0.1,A,12,0.53
sorting_near_sorted_3.json,1000,0.1,A,13,0.55
sorting_near_sorted_3.json,1000,0.1,A,14,0.54
sorting_near_sorted_3.json,1000,0.1,A,15,0.53
sorting_near_sorted_3.json,1000,0.1,A,16,0.53
sorting_near_sorted_3.json,1000,0.1,A,17,0.53
sorting_near_sorted_3.json,1000,0.1,A,18,0.51
sorting_near_sorted_3.json,1000,0.1,A,19,0.54
sorting_near_sorted_3.json,1000,0.1,A,20,0.54
sorting_near_sorted_3.json,1000,0.1,A,21,0.54
sorting_near_sorted_3.json,1000,0.1,A,22,0.51
sorting_near_sorted_3.json,1000,0.1,A,23,0.53
sorting_near_sorted_3.json,1000,0.1,A,24,0.51
sorting_near_sorted_3.json,1000,0.1,A,25,0.51
sorting_near_sorted_3.json,1000,0.1,A,26,0.58
sorting_near_sorted_3.json,1000,0.1,A,27,0.52
sorting_near_sorted_3.json,1000,0.1,A,28,0.54
sorting_near_sorted_3.json,1000,0.1,A,29,0.52
sorting_near_sorted_3.json,1000,0.1,A,30,0.52
sorting_near_sorted_3.json,1000,0.1,A,31,0.53
sorting_near_sorted_3.json,1000,0.1,A,32,0.52
sorting_near_sorted_3.json,1000,0.1,A,33,0.54
sorting_near_sorted_3.json,1000,0.1,A,34,0.51
sorting_near_sorted_3.json,1000,0.1,A,35,0.52
sorting_near_sorted_3.json,1000,0.1,A,36,0.53
sorting_near_sorted_3.json,1000,0.1,A,37,0.55
sorting_near_sorted_3.json,1000,0.1,A,38,0.57
sorting_near_sorted_3.json,1000,0.1,A,39,0.53
sorting_near_sorted_3.json,1000,0.1,A,40,0.53
sorting_near_sorted_3.json,1000,0.1,A,41,0.51
sorting_near_sorted_3.json,1000,0.1,A,42,0.53
sorting_near_sorted_3.json,1000,0.1,A,43,0.5
sorting_near_sorted_3.json,1000,0.1,A,44,0.54
sorting_near_sorted_3.json,1000,0.1,A,45,0.52
sorting_near_sorted_3.json,1000,0.1,A,46,0.52
sorting_near_sorted_3.json,1000,0.1,A,47,0.53
sorting_near_sorted_3.json,1000,0.1,A,48,0.53
sorting_near_sorted_3.json,1000,0.1,A,49,0.52
sorting_near_sorted_3.json,1000,0.1,A,50,0.52
sorting_near_sorted_3.json,1000,0.1,B,1,0.59
sorting_near_sorted_3.json,1000,0.1,B,2,0.6
