instance,instance_id,n,error,algo,time_ms,peak_mb,gap,trial
sorting_near_sorted_10.json,sorting_near_sorted_10,100000,0.02,C,227.25400002673268,0.7641830444335938,0.0,5
sorting_near_sorted_10.json,sorting_near_sorted_10,100000,0.02,C,228.73339999932796,0.7631492614746094,0.0,6
sorting_near_sorted_10.json,sorting_near_sorted_10,100000,0.02,C,224.03489996213466,0.7631492614746094,0.0,7
sorting_near_sorted_10.json,sorting_near_sorted_10,100000,0.02,C,227.67200006637722,0.7631492614746094,0.0,8
sorting_near_sorted_10.json,sorting_near_sorted_10,100000,0.02,C,242.50769999343902,0.7631492614746094,0.0,9
sorting_near_sorted_10.json,sorting_near_sorted_10,100000,0.02,C,227.25889994762838,0.7631492614746094,0.0,10
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,A,572.9933000402525,3.2017440795898438,0.0,1
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,A,575.9183999616653,3.2017440795898438,0.0,2
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,A,577.1275999723002,3.2017440795898438,0.0,3
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,A,572.0789999468252,3.2017440795898438,0.0,4
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,A,576.0461000027135,3.2017440795898438,0.0,5
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,A,578.5295999376103,3.2017440795898438,0.0,6
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,A,573.4351000282913,3.2017440795898438,0.0,7
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,A,570.1088999630883,3.2017440795898438,0.0,8
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,A,564.278700039722,3.2017440795898438,0.0,9
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,A,569.3949999986216,3.2017440795898438,0.0,10
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,B,1692.7580999908969,2.6737899780273438,0.0,1
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,B,1684.8283000290394,2.672576904296875,0.0,2
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,B,1746.7428999952972,2.672576904296875,0.0,3
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,B,1775.3587999613956,2.672576904296875,0.0,4
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,B,1767.0853999443352,2.672576904296875,0.0,5
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,B,1727.0715000340715,2.6736907958984375,0.0,6
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,B,1715.451299911365,2.672576904296875,0.0,7
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,B,1702.2776000667363,2.672576904296875,0.0,8
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,B,1701.5456999652088,2.672576904296875,0.0,9
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,B,1700.2288999501616,2.672576904296875,0.0,10
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,C,243.6199999647215,0.7631492614746094,0.0,1
